gen,fitness_min,fitness_avg,fitness_std,norm_min_x,norm_avg_x,nevals,num_clusters_min,num_clusters_avg,num_clusters_std,norm_min_y,norm_avg_y
0,147717.0,148002.23,142.90373368110437,[1.22713271],[1.2296721],100,499,499.98,0.14,-0.08354552091308916,-0.08353679599722227
1,128273.0,137823.63333333333,5962.759291264033,[1.05402325],[1.13905231],48,500,637.3333333333334,210.84122514874127,-0.08353661793771479,-0.08231394265296794
2,77589.0,90934.63333333333,18587.77999920617,[0.60278485],[0.7216007],50,399,528.1666666666666,221.80172577226614,-0.08443581845052617,-0.08328585079800337
3,66797.0,67761.13333333333,2904.3770615323956,[0.50670394],[0.5152876],41,200,218.43333333333334,55.39776369333172,-0.08620751055002582,-0.0860433990372916
4,66604.0,66608.43333333333,23.87423064496296,[0.50498567],[0.50502514],49,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
5,66538.0,66652.46666666666,39.406203685319504,[0.50439807],[0.50541716],53,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
6,66321.0,68054.86666666667,8493.477567064167,[0.50246612],[0.5179027],53,200,200.03333333333333,0.17950549357115014,-0.08620751055002582,-0.08620721378418002
7,66103.0,66388.13333333333,89.48993736107366,[0.50052528],[0.50306381],52,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
8,66293.0,66523.03333333334,125.51878566794517,[0.50221684],[0.50426482],50,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
9,66258.0,66443.9,116.80249711942521,[0.50190524],[0.5035603],54,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
10,66101.0,66377.26666666666,178.34889651716068,[0.50050747],[0.50296706],53,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
11,66034.0,66413.43333333333,159.45713809324715,[0.49991097],[0.50328906],55,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
12,66101.0,66324.83333333333,199.86129912739204,[0.50050747],[0.50250025],51,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
13,66122.0,66323.3,96.37017173378908,[0.50069443],[0.5024866],55,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
14,66023.0,66471.23333333334,225.5434449403386,[0.49981304],[0.50380365],41,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
15,66096.0,66317.66666666667,100.59103118844918,[0.50046295],[0.50243645],50,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
16,66264.0,66490.56666666667,166.95701708989517,[0.50195865],[0.50397577],51,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
17,66168.0,66419.9,159.04178696179187,[0.50110397],[0.50334663],56,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
18,66056.0,66485.96666666666,174.59944317080613,[0.50010684],[0.50393482],52,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
19,66129.0,66390.03333333334,171.63827920626824,[0.50075675],[0.50308073],38,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
20,66072.0,66329.2,146.96629999198228,[0.50024928],[0.50253913],49,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
21,66257.0,66532.6,177.3519288495805,[0.50189633],[0.50434999],51,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
22,66288.0,66459.0,134.31033715491398,[0.50217233],[0.50369473],50,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
23,66192.0,66470.73333333334,146.00272447990673,[0.50131764],[0.5037992],53,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
24,66099.0,66432.16666666667,109.3493128566532,[0.50048966],[0.50345584],50,200,200.0,0.0,-0.08620751055002582,-0.08620751055002582
